이름,가격(최저가),가격(최고가),크기,연료,연비,이미지,주행,가격,거주성,품질,디자인,연비,평균점수
캐딜락 XT4,6120 ,6120 ,준중형 SUV,가솔린,10.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240507_124%2Fauto_1715044554731WMy1L_PNG%2F20240507101553_CosXTFQd.png,9.0 ,7.8 ,8.2 ,8.0 ,9.2 ,7.4 ,8.3 
KGM 토레스,2666 ,3761 ,중형 SUV,"LPG,가솔린",11.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240508_5%2Fauto_1715141260561owQMU_PNG%2F20240508130733_R2BWnhbB.png,9.2 ,9.4 ,9.4 ,8.5 ,9.7 ,7.0 ,8.9 
제네시스 GV70,5380 ,6230 ,중형 SUV,가솔린,10.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240508_237%2Fauto_1715132569855dJKNG_PNG%2F20240508104248_F1BZquFR.png,9.5 ,7.9 ,9.1 ,9.2 ,9.8 ,6.1 ,8.6 
폭스바겐 제타,3426 ,3810 ,준중형 세단,가솔린,14.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240510_7%2Fauto_17153033968408QDnd_PNG%2F20240510100945_wOyBwP7f.png,9.5 ,9.6 ,9.0 ,9.1 ,9.4 ,9.4 ,9.3 
볼보 EX30,4945 ,5516 ,소형 SUV,전기,11.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231128_114%2Fauto_1701129903058jqAUw_PNG%2F20231128090448_RdCE8ZqD.png,9.0 ,8.0 ,9.0 ,9.0 ,10.0 ,9.0 ,9.0 
BMW iX2,6750 ,6990 ,준중형 SUV,전기,10.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231011_226%2Fauto_1696998750342x42tG_PNG%2F20231011133218_SF7Ngzu9.png,8.0 ,7.0 ,9.0 ,6.0 ,7.0 ,8.0 ,7.5 
르노코리아 아르카나 E-테크 하이브리드,2845 ,3167 ,소형 SUV,"가솔린,하이브리드",17.4km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_110%2Fauto_1712126066225BmOad_PNG%2F20240403153418_0qJpyuQF.png,10.0 ,10.0 ,10.0 ,10.0 ,10.0 ,10.0 ,10.0 
르노코리아 아르카나,2285 ,2914 ,소형 SUV,가솔린,13.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_20%2Fauto_1712129503188yxLLU_PNG%2F20240403163134_IcrLHqgp.png,10.0 ,10.0 ,10.0 ,10.0 ,10.0 ,10.0 ,10.0 
르노코리아 QM6,2495 ,3720 ,중형 SUV,"LPG,가솔린",11.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_65%2Fauto_17121304285119WC5x_PNG%2F20240403164700_HfLtuzNc.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,8.0 ,8.0 
혼다 파일럿,6940 ,6940 ,준대형 SUV,가솔린,8.4km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240508_83%2Fauto_1715136825237nzUfj_PNG%2F20240508115338_UNNJG4pu.png,9.7 ,7.7 ,9.3 ,9.3 ,9.3 ,8.3 ,8.9 
