브랜드 이름,대리점 지점명,대리점 주소(도로명),위도,경도,대리점 전화번호
기아,매봉 대리점,서울특별시 강남구 역삼로 162 1층,37.4948495,127.0368878,02-501-1333
기아,도곡 지점,서울특별시 강남구 도곡로 313,37.495791,127.0501929,02-579-9631
기아,대치갤러리 지점,서울특별시 강남구 남부순환로 2941 1층,37.4942268,127.0617852,02-501-2319
기아,신사 대리점,서울특별시 강남구 언주로 532 1층,37.5058598,127.0415962,02-517-5588
기아,대치 지점,서울특별시 강남구 영동대로 324 타워크리스탈B/D,37.5035663,127.0667684,02-553-2884
기아,우리들 대리점,서울특별시 강남구 선릉로 611 1층,37.5113742,127.0431668,02-511-0119
기아,학동 대리점,서울특별시 강남구 학동로 314 1층,37.5156035,127.0369411,02-518-5871
기아,강남영동 지점,서울특별시 강남구 강남대로 580 성보빌딩1층,37.5137104,127.0207372,02-540-5915
기아,강남 지점,서울특별시 강남구 언주로 804 신사빌딩 3층,37.5221642,127.0339206,02-542-3176
기아,압구정 Kia360,서울특별시 강남구 압구정로 417 기아빌딩 2층,37.5276039,127.0428766,02-556-3933
현대,강남대로 지점,서울특별시 강남구 강남대로 292,37.489364,127.0322427,02-3461-1990
현대,신강남 대리점,서울특별시 서초구 사임당로 115 1층,37.4912746,127.0223272,02-6004-4700
현대,삼풍 대리점,서울특별시 서초구 서초대로 347,37.4956498,127.0192299,02-594-8686
현대,신사 대리점,서울특별시 강남구 봉은사로 115 1층,37.5053734,127.0261161,02-515-8111
현대,경복 대리점,서울특별시 강남구 언주로 309 1층,37.4951214,127.0458188,02-553-3883
현대,서초남부 지점,서울특별시 서초구 반포대로 58 1층,37.4857137,127.0115669,02-554-5303
현대,도곡중앙 대리점,서울특별시 강남구 언주로 122,37.4870802,127.0510531,02-3463-5200
현대,반포 지점,서울특별시 서초구 서초중앙로 255,37.5041787,127.0103431,02-537-6074
현대,남서울 대리점,서울특별시 강남구 선릉로 531,37.5066027,127.0466564,02-552-4458
현대,강남논현 지점,서울특별시 서초구 강남대로 565 1층,37.5122154,127.0202946,02-542-1144
