이름,주행,가격,거주성,품질,디자인,연비,평균점수
캐딜락 XT4,9,7.8,8.2,8,9.2,7.4,8.3
KGM 토레스,9.2,9.4,9.4,8.5,9.7,7,8.9
제네시스 GV70,9.5,7.9,9.1,9.2,9.8,6.1,8.6
폭스바겐 제타,9.5,9.6,9,9.1,9.4,9.4,9.3
볼보 EX30,9,8,9,9,10,9,9
BMW iX2,8,7,9,6,7,8,7.5
르노코리아 아르카나 E-테크 하이브리드,10,10,10,10,10,10,10
르노코리아 아르카나,10,10,10,10,10,10,10
르노코리아 QM6,10,9,8,6,7,8,8
혼다 파일럿,9.7,7.7,9.3,9.3,9.3,8.3,8.9
폭스바겐 티구안 올스페이스,9.2,9.1,9,9.1,9.3,9.3,9.2
포르쉐 파나메라,9.7,8.2,9.3,9.6,9.9,8.3,9.2
테슬라 모델X,9.9,7.9,9.5,7.4,9.3,9.2,8.9
테슬라 모델S,9.9,8.9,9.3,8.5,9.5,9.5,9.3
테슬라 모델3,9.9,8.8,8.6,7.8,9.4,9.3,9
캐딜락 XT6,9.8,8.9,9.7,9.2,9.6,8.3,9.3
이네오스 그레나디어,6,7,8,9,8,7,7.5
현대 스타리아 캠퍼,8.9,7.5,8.7,8.2,8.8,7,8.2
현대 스타리아 리무진,8.9,7.5,8.7,8.2,8.8,7,8.2
메르세데스-벤츠 AMG S클래스 E 퍼포먼스,9.7,8.1,9.6,9,9.4,9.1,9.2
메르세데스-벤츠 AMG GLC클래스,9.1,7.4,8.8,9.1,9.6,8.8,8.8
랜드로버 레인지로버 플러그인 하이브리드,8,6,5,8,7,9,7.2
랜드로버 레인지로버 스포츠 플러그인 하이브리드,9.6,7.7,9.1,8.9,9.8,8.5,8.9
랜드로버 레인지로버 스포츠,9,7.7,10,9,9.8,7.7,8.9
랜드로버 레인지로버 벨라 플러그인 하이브리드,9.4,7.2,9,8.4,9.9,8.4,8.7
랜드로버 레인지로버 벨라,9.4,7.2,9,8.4,9.9,8.4,8.7
랜드로버 레인지로버 LWB,10,8.5,10,9.8,10,6.1,9.1
랜드로버 레인지로버,10,8.5,10,9.8,10,6.1,9.1
대창모터스 다니고 W,10,9,8,6,7,5,7.5
대창모터스 다니고 T,10,9,8,6,7,5,7.5
대창모터스 다니고 R,10,9,8,6,7,5,7.5
대창모터스 다니고 L,10,9,8,6,7,5,7.5
대창모터스 다니고 C,10,9,8,6,7,5,7.5
현대 ST1,10,9,8,6,7,5,7.5
기아 K9,9.7,9.3,9.6,9.4,9.2,6.8,9
BMW X2,9,8,6,7,8,8,7.7
쉐보레 트랙스 크로스오버,9.5,9.4,9.4,8.9,9.8,8.4,9.2
렉서스 ES 하이브리드,9.6,8.9,9.6,9.7,9.6,9.8,9.5
렉서스 ES F 스포츠 하이브리드,9.6,8.6,9.6,9.7,9.6,9.8,9.5
현대 코나 일렉트릭,10,8,9.7,9.5,9.9,9.6,9.5
캐딜락 에스컬레이드,9.6,8.2,8.6,8.9,9.6,5.8,8.5
기아 카니발 하이리무진 하이브리드,9.7,8.8,9.8,9.7,9.8,9.5,9.6
현대 아이오닉 5,10,8,10,10,10,10,9.7
아우디 A5 카브리올레,9.7,8.6,8,9.3,9.9,7.7,8.9
현대 스타리아 하이브리드,10,9,10,10,10,10,9.8
현대 스타리아,8.9,7.5,8.7,8.2,8.8,7,8.2
